Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
unmatched_applicants,2158.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1800.0,1817.0,1818.0,1875.0,1918.0,1947.0,2003.0
unmatched_applicants,2151.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1801.0,1812.0,1825.0,1861.0,1921.0,1964.0,2010.0
unmatched_applicants,2147.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1799.0,1800.0,1806.0,1815.0,1863.0,1911.0,1965.0,2014.0
unmatched_applicants,2146.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1798.0,1810.0,1841.0,1857.0,1904.0,1958.0,1992.0
unmatched_applicants,2134.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1800.0,1819.0,1829.0,1870.0,1927.0,1961.0,2003.0
unmatched_applicants,2156.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1811.0,1821.0,1863.0,1908.0,1937.0,2002.0
unmatched_applicants,2160.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1802.0,1805.0,1828.0,1866.0,1873.0,1953.0,2020.0
unmatched_applicants,2142.0,1797.0,1798.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1799.0,1804.0,1837.0,1855.0,1896.0,1962.0,1996.0
unmatched_applicants,2153.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1802.0,1813.0,1816.0,1872.0,1895.0,1942.0,2008.0
unmatched_applicants,2154.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1797.0,1800.0,1804.0,1803.0,1832.0,1856.0,1901.0,1955.0,1994.0
unfilled_spots,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,21.0,78.0,121.0,150.0,206.0
unfilled_spots,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,28.0,64.0,124.0,167.0,213.0
unfilled_spots,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,9.0,18.0,66.0,114.0,168.0,217.0
unfilled_spots,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,44.0,60.0,107.0,161.0,195.0
unfilled_spots,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,32.0,73.0,130.0,164.0,206.0
unfilled_spots,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,24.0,66.0,111.0,140.0,205.0
unfilled_spots,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,31.0,69.0,76.0,156.0,223.0
unfilled_spots,345.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,40.0,58.0,99.0,165.0,199.0
