Parameter,0,1,2,3,4,5,6,7,8,9,10
unmatched_applicants,104.0,90.0,90.0,90.0,90.0,90.0,94.0,93.0,93.0,94.0,99.0
unmatched_applicants,102.0,90.0,91.0,90.0,90.0,91.0,94.0,93.0,94.0,99.0,97.0
unmatched_applicants,104.0,90.0,91.0,90.0,90.0,91.0,94.0,93.0,93.0,98.0,100.0
unmatched_applicants,103.0,90.0,90.0,90.0,90.0,90.0,94.0,92.0,94.0,99.0,98.0
unmatched_applicants,103.0,90.0,90.0,90.0,90.0,90.0,93.0,93.0,96.0,97.0,99.0
unmatched_applicants,102.0,90.0,90.0,90.0,90.0,92.0,92.0,93.0,95.0,98.0,98.0
unmatched_applicants,101.0,90.0,90.0,90.0,90.0,91.0,91.0,93.0,95.0,98.0,98.0
unmatched_applicants,103.0,90.0,90.0,90.0,90.0,90.0,91.0,92.0,97.0,98.0,97.0
unmatched_applicants,103.0,90.0,90.0,90.0,90.0,90.0,92.0,93.0,96.0,99.0,98.0
unmatched_applicants,101.0,90.0,90.0,90.0,90.0,90.0,93.0,92.0,95.0,98.0,98.0
unfilled_spots,14.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,9.0
unfilled_spots,12.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,4.0,9.0,7.0
unfilled_spots,14.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,3.0,8.0,10.0
unfilled_spots,13.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,9.0,8.0
unfilled_spots,13.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,7.0,9.0
unfilled_spots,12.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,8.0,8.0
unfilled_spots,11.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,8.0,8.0
unfilled_spots,13.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,8.0,7.0
unfilled_spots,13.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,9.0,8.0
unfilled_spots,11.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,8.0,8.0
reviews_per_program,42.25,39.225,25.15,12.6,13.0,16.25,19.5,22.75,26.0,29.25,32.5
reviews_per_program,42.25,40.25,26.075,12.675,13.0,16.95,19.5,22.75,26.0,29.25,32.5
reviews_per_program,42.25,41.275,23.5,13.1,13.7,16.25,19.5,22.75,26.0,29.25,32.5
reviews_per_program,42.25,39.525,24.75,15.35,13.85,16.25,19.5,22.75,26.0,29.25,32.5
reviews_per_program,42.25,41.1,25.575,14.325,15.1,16.25,19.5,22.75,26.0,29.25,32.5
reviews_per_program,42.25,42.25,23.25,14.425,13.775,16.25,19.5,22.75,26.0,29.25,32.5
reviews_per_program,42.25,41.425,24.725,14.475,13.7,16.25,19.5,22.75,26.0,29.25,32.5
reviews_per_program,42.25,39.45,26.025,14.4,16.275,16.25,19.5,22.75,26.0,29.25,32.5
reviews_per_program,42.25,39.325,24.3,14.775,13.925,16.25,19.5,22.75,26.0,29.25,32.5
reviews_per_program,42.25,41.275,27.725,18.8,13.7,16.25,19.5,22.75,26.0,29.25,32.5
pct_interview_given_signal,0.0,1.0,0.8923076923076924,0.7025641025641025,0.5384615384615384,0.4307692307692308,0.358974358974359,0.3076923076923077,0.2692307692307692,0.23931623931623933,0.2153846153846154
pct_interview_given_signal,0.0,1.0153846153846153,0.9,0.6974358974358974,0.5384615384615384,0.42923076923076925,0.358974358974359,0.3076923076923077,0.2692307692307692,0.23931623931623933,0.2153846153846154
pct_interview_given_signal,0.0,1.0307692307692307,0.8846153846153846,0.7025641025641025,0.5365384615384615,0.4307692307692308,0.358974358974359,0.3076923076923077,0.2692307692307692,0.23931623931623933,0.2153846153846154
pct_interview_given_signal,0.0,1.0076923076923077,0.8769230769230769,0.676923076923077,0.5326923076923077,0.4307692307692308,0.358974358974359,0.3076923076923077,0.2692307692307692,0.23931623931623933,0.2153846153846154
pct_interview_given_signal,0.0,1.0384615384615385,0.8307692307692308,0.6846153846153846,0.5326923076923077,0.4307692307692308,0.358974358974359,0.3076923076923077,0.2692307692307692,0.23931623931623933,0.2153846153846154
pct_interview_given_signal,0.0,1.0384615384615385,0.8807692307692307,0.6897435897435897,0.5365384615384615,0.4307692307692308,0.358974358974359,0.3076923076923077,0.2692307692307692,0.23931623931623933,0.2153846153846154
pct_interview_given_signal,0.0,1.023076923076923,0.8923076923076924,0.7,0.5365384615384615,0.4307692307692308,0.358974358974359,0.3076923076923077,0.2692307692307692,0.23931623931623933,0.2153846153846154
pct_interview_given_signal,0.0,0.9923076923076923,0.9038461538461539,0.6974358974358974,0.5288461538461539,0.4307692307692308,0.358974358974359,0.3076923076923077,0.2692307692307692,0.23931623931623933,0.2153846153846154
pct_interview_given_signal,0.0,1.023076923076923,0.9038461538461539,0.6871794871794872,0.5365384615384615,0.4307692307692308,0.358974358974359,0.3076923076923077,0.2692307692307692,0.23931623931623933,0.2153846153846154
pct_interview_given_signal,0.0,1.0384615384615385,0.9076923076923077,0.6820512820512821,0.5288461538461539,0.4307692307692308,0.358974358974359,0.3076923076923077,0.2692307692307692,0.23931623931623933,0.2153846153846154
pct_interview_given_nosignal,0.16568047337278108,0.09615384615384616,0.033566433566433566,0.004615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.16568047337278108,0.09487179487179487,0.032167832167832165,0.006153846153846154,0.0,0.0009615384615384616,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.16568047337278108,0.09358974358974359,0.03496503496503497,0.004615384615384616,0.0008547008547008547,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.16568047337278108,0.0955128205128205,0.03636363636363636,0.012307692307692308,0.002564102564102564,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.16568047337278108,0.09294871794871795,0.044755244755244755,0.01,0.002564102564102564,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.16568047337278108,0.09294871794871795,0.03566433566433566,0.008461538461538461,0.0008547008547008547,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.16568047337278108,0.09423076923076923,0.033566433566433566,0.005384615384615384,0.0008547008547008547,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.16568047337278108,0.0967948717948718,0.03146853146853147,0.006153846153846154,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.16568047337278108,0.09423076923076923,0.03146853146853147,0.009230769230769232,0.0008547008547008547,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.16568047337278108,0.09294871794871795,0.03076923076923077,0.010769230769230769,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108
pct_interview_given_application,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108
pct_interview_given_application,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108
pct_interview_given_application,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108
pct_interview_given_application,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108
pct_interview_given_application,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108,0.16568047337278108
