Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
unmatched_applicants,4509.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3534.0,3578.0,3637.0,3733.0,3814.0,3877.0,3973.0,4002.0,4080.0,4106.0,4166.0,4211.0,4264.0,4275.0,4330.0,4371.0,4392.0,4423.0
unmatched_applicants,4500.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3523.0,3539.0,3575.0,3656.0,3745.0,3818.0,3866.0,3953.0,4017.0,4070.0,4119.0,4175.0,4201.0,4263.0,4306.0,4327.0,4355.0,4369.0,4425.0
unmatched_applicants,4503.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3523.0,3535.0,3606.0,3650.0,3717.0,3817.0,3885.0,3951.0,3991.0,4072.0,4105.0,4186.0,4213.0,4265.0,4299.0,4330.0,4363.0,4380.0,4424.0
unmatched_applicants,4471.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3523.0,3548.0,3594.0,3677.0,3728.0,3793.0,3871.0,3944.0,3987.0,4074.0,4130.0,4189.0,4216.0,4244.0,4288.0,4331.0,4356.0,4391.0,4425.0
unmatched_applicants,4495.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3526.0,3564.0,3595.0,3648.0,3733.0,3824.0,3884.0,3966.0,3980.0,4081.0,4125.0,4176.0,4214.0,4248.0,4301.0,4326.0,4365.0,4385.0,4406.0
unmatched_applicants,4495.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3523.0,3533.0,3579.0,3638.0,3733.0,3792.0,3896.0,3939.0,3990.0,4077.0,4118.0,4176.0,4202.0,4256.0,4295.0,4326.0,4359.0,4397.0,4413.0
unmatched_applicants,4495.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3523.0,3521.0,3528.0,3595.0,3662.0,3700.0,3802.0,3873.0,3961.0,3979.0,4072.0,4125.0,4162.0,4235.0,4247.0,4289.0,4320.0,4357.0,4390.0,4416.0
unmatched_applicants,4494.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3527.0,3540.0,3580.0,3664.0,3754.0,3824.0,3891.0,3944.0,4019.0,4065.0,4126.0,4174.0,4210.0,4262.0,4295.0,4327.0,4358.0,4377.0,4403.0
unmatched_applicants,4493.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3522.0,3547.0,3599.0,3634.0,3726.0,3802.0,3871.0,3974.0,4013.0,4057.0,4138.0,4184.0,4212.0,4259.0,4289.0,4326.0,4341.0,4384.0,4440.0
unmatched_applicants,4489.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3524.0,3549.0,3607.0,3627.0,3743.0,3798.0,3887.0,3961.0,4022.0,4080.0,4115.0,4189.0,4230.0,4263.0,4299.0,4326.0,4356.0,4390.0,4416.0
unfilled_spots,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,58.0,117.0,213.0,294.0,357.0,453.0,482.0,560.0,586.0,646.0,691.0,744.0,755.0,810.0,851.0,872.0,903.0
unfilled_spots,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,55.0,136.0,225.0,298.0,346.0,433.0,497.0,550.0,599.0,655.0,681.0,743.0,786.0,807.0,835.0,849.0,905.0
unfilled_spots,983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,86.0,130.0,197.0,297.0,365.0,431.0,471.0,552.0,585.0,666.0,693.0,745.0,779.0,810.0,843.0,860.0,904.0
unfilled_spots,951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,74.0,157.0,208.0,273.0,351.0,424.0,467.0,554.0,610.0,669.0,696.0,724.0,768.0,811.0,836.0,871.0,905.0
unfilled_spots,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,44.0,75.0,128.0,213.0,304.0,364.0,446.0,460.0,561.0,605.0,656.0,694.0,728.0,781.0,806.0,845.0,865.0,886.0
unfilled_spots,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,59.0,118.0,213.0,272.0,376.0,419.0,470.0,557.0,598.0,656.0,682.0,736.0,775.0,806.0,839.0,877.0,893.0
unfilled_spots,975.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,75.0,142.0,180.0,282.0,353.0,441.0,459.0,552.0,605.0,642.0,715.0,727.0,769.0,800.0,837.0,870.0,896.0
unfilled_spots,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,60.0,144.0,234.0,304.0,371.0,424.0,499.0,545.0,606.0,654.0,690.0,742.0,775.0,807.0,838.0,857.0,883.0
unfilled_spots,973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,79.0,114.0,206.0,282.0,351.0,454.0,493.0,537.0,618.0,664.0,692.0,739.0,769.0,806.0,821.0,864.0,920.0
unfilled_spots,969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,87.0,107.0,223.0,278.0,367.0,441.0,502.0,560.0,595.0,669.0,710.0,743.0,779.0,806.0,836.0,870.0,896.0
reviews_per_program,635.542372881356,635.542372881356,635.542372881356,459.14830508474574,94.51694915254237,109.57627118644068,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915
