Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,4801.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3524.0,3557.0,3581.0,3665.0,3744.0,3801.0,3911.0,3946.0,4027.0,4069.0,4140.0,4176.0,4226.0,4250.0,4309.0,4339.0,4364.0,4390.0,4417.0,4445.0,4472.0,4507.0,4493.0,4542.0,4551.0,4565.0,4598.0,4593.0,4605.0,4618.0,4645.0,4665.0,4680.0
unmatched_applicants,4804.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3525.0,3547.0,3574.0,3627.0,3743.0,3814.0,3893.0,3930.0,4021.0,4080.0,4115.0,4170.0,4236.0,4258.0,4290.0,4314.0,4365.0,4395.0,4407.0,4437.0,4459.0,4485.0,4509.0,4528.0,4549.0,4566.0,4595.0,4597.0,4611.0,4615.0,4639.0,4640.0,4670.0
unmatched_applicants,4810.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3522.0,3555.0,3570.0,3634.0,3725.0,3807.0,3871.0,3941.0,4010.0,4077.0,4123.0,4148.0,4205.0,4262.0,4288.0,4326.0,4352.0,4393.0,4412.0,4426.0,4468.0,4499.0,4519.0,4538.0,4547.0,4558.0,4570.0,4606.0,4609.0,4638.0,4635.0,4661.0,4659.0
unmatched_applicants,4809.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3523.0,3534.0,3588.0,3649.0,3717.0,3804.0,3861.0,3943.0,4007.0,4069.0,4107.0,4173.0,4201.0,4270.0,4278.0,4324.0,4359.0,4396.0,4430.0,4454.0,4463.0,4496.0,4514.0,4539.0,4540.0,4567.0,4594.0,4602.0,4616.0,4628.0,4638.0,4657.0,4647.0
unmatched_applicants,4804.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3545.0,3597.0,3643.0,3723.0,3820.0,3899.0,3941.0,4009.0,4046.0,4142.0,4183.0,4219.0,4265.0,4282.0,4318.0,4348.0,4380.0,4419.0,4452.0,4475.0,4481.0,4506.0,4520.0,4539.0,4562.0,4580.0,4611.0,4612.0,4635.0,4647.0,4661.0,4667.0
unmatched_applicants,4806.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3524.0,3526.0,3606.0,3646.0,3732.0,3820.0,3886.0,3955.0,4022.0,4060.0,4121.0,4152.0,4225.0,4250.0,4287.0,4332.0,4353.0,4392.0,4410.0,4443.0,4472.0,4484.0,4517.0,4528.0,4545.0,4558.0,4590.0,4590.0,4611.0,4636.0,4647.0,4655.0,4667.0
unmatched_applicants,4804.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3522.0,3525.0,3539.0,3580.0,3667.0,3727.0,3799.0,3919.0,3947.0,4039.0,4093.0,4119.0,4180.0,4217.0,4251.0,4305.0,4338.0,4360.0,4383.0,4423.0,4436.0,4470.0,4497.0,4528.0,4536.0,4551.0,4573.0,4579.0,4593.0,4612.0,4634.0,4634.0,4654.0,4665.0
unmatched_applicants,4806.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3523.0,3533.0,3573.0,3656.0,3743.0,3771.0,3879.0,3938.0,4009.0,4058.0,4114.0,4170.0,4208.0,4251.0,4296.0,4320.0,4368.0,4379.0,4416.0,4444.0,4462.0,4476.0,4496.0,4533.0,4547.0,4567.0,4567.0,4604.0,4613.0,4628.0,4651.0,4648.0,4669.0
unmatched_applicants,4805.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3522.0,3556.0,3594.0,3668.0,3719.0,3825.0,3892.0,3965.0,3997.0,4070.0,4126.0,4174.0,4227.0,4246.0,4280.0,4314.0,4354.0,4377.0,4419.0,4446.0,4460.0,4471.0,4516.0,4531.0,4546.0,4567.0,4592.0,4592.0,4612.0,4624.0,4634.0,4659.0,4660.0
unmatched_applicants,4809.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3520.0,3535.0,3563.0,3593.0,3657.0,3734.0,3808.0,3883.0,3964.0,4021.0,4066.0,4120.0,4177.0,4231.0,4240.0,4295.0,4315.0,4354.0,4410.0,4419.0,4454.0,4445.0,4496.0,4505.0,4526.0,4548.0,4565.0,4584.0,4590.0,4606.0,4637.0,4640.0,4664.0,4661.0
