Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,8466.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6537.0,6580.0,6605.0,6691.0,6823.0,6971.0,6907.0,7061.0,7141.0,7276.0,7298.0,7330.0,7434.0,7500.0,7576.0,7628.0,7637.0,7706.0,7901.0,7939.0,7929.0,7969.0,8189.0,8166.0,8250.0,8209.0,8496.0
unmatched_applicants,8461.0,6534.0,6520.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6536.0,6597.0,6607.0,6703.0,6841.0,6958.0,6944.0,7071.0,7160.0,7271.0,7265.0,7380.0,7412.0,7506.0,7581.0,7619.0,7683.0,7739.0,7913.0,7905.0,7931.0,7931.0,8168.0,8235.0,8182.0,8245.0,8485.0
unmatched_applicants,8510.0,6525.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6526.0,6527.0,6641.0,6578.0,6700.0,6842.0,6986.0,6940.0,7056.0,7169.0,7231.0,7276.0,7334.0,7423.0,7523.0,7582.0,7609.0,7680.0,7722.0,7911.0,7954.0,7940.0,7953.0,8151.0,8222.0,8239.0,8252.0,8494.0
unmatched_applicants,8508.0,6527.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6536.0,6567.0,6617.0,6713.0,6830.0,6913.0,6921.0,7044.0,7178.0,7253.0,7298.0,7369.0,7444.0,7501.0,7561.0,7620.0,7676.0,7710.0,7896.0,7892.0,7918.0,7964.0,8223.0,8197.0,8223.0,8232.0,8442.0
unmatched_applicants,8508.0,6525.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6549.0,6564.0,6608.0,6715.0,6814.0,6927.0,6925.0,7069.0,7163.0,7252.0,7285.0,7327.0,7425.0,7503.0,7567.0,7613.0,7688.0,7689.0,7905.0,7907.0,7946.0,7956.0,8230.0,8160.0,8222.0,8214.0,8502.0
unmatched_applicants,8443.0,6524.0,6520.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6550.0,6605.0,6593.0,6712.0,6822.0,6945.0,6962.0,7054.0,7171.0,7261.0,7283.0,7336.0,7415.0,7506.0,7570.0,7596.0,7676.0,7695.0,7921.0,7900.0,7952.0,7963.0,8223.0,8237.0,8226.0,8213.0,8509.0
unmatched_applicants,8554.0,6521.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6527.0,6584.0,6591.0,6705.0,6814.0,6903.0,6946.0,7037.0,7162.0,7228.0,7267.0,7349.0,7436.0,7523.0,7582.0,7613.0,7652.0,7724.0,7846.0,7890.0,7933.0,7969.0,8243.0,8212.0,8204.0,8241.0,8506.0
unmatched_applicants,8500.0,6532.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6530.0,6540.0,6628.0,6586.0,6711.0,6809.0,6931.0,6958.0,7072.0,7125.0,7254.0,7304.0,7359.0,7449.0,7511.0,7573.0,7628.0,7679.0,7722.0,7857.0,7896.0,7955.0,7991.0,8220.0,8253.0,8253.0,8259.0,8516.0
unmatched_applicants,8518.0,6522.0,6520.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6531.0,6530.0,6620.0,6594.0,6704.0,6822.0,6912.0,6934.0,7041.0,7170.0,7238.0,7290.0,7358.0,7463.0,7487.0,7610.0,7613.0,7646.0,7695.0,7894.0,7916.0,7942.0,7974.0,8229.0,8209.0,8237.0,8226.0,8521.0
unmatched_applicants,8493.0,6527.0,6520.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6520.0,6537.0,6623.0,6591.0,6702.0,6808.0,6955.0,6889.0,7035.0,7176.0,7273.0,7245.0,7372.0,7443.0,7514.0,7532.0,7628.0,7646.0,7710.0,7897.0,7914.0,7934.0,8022.0,8257.0,8204.0,8219.0,8246.0,8463.0
