Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,273.0,273.0,273.0,273.0,275.0,277.0,280.0,280.0,280.0,280.0,280.0
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,273.0,273.0,274.0,274.0,276.0,280.0,280.0,280.0,280.0,280.0
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,273.0,273.0,274.0,275.0,277.0,280.0,280.0,280.0,280.0,281.0
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,273.0,273.0,274.0,274.0,277.0,280.0,280.0,280.0,280.0,280.0
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,273.0,273.0,273.0,275.0,277.0,280.0,280.0,280.0,280.0,280.0
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,273.0,273.0,274.0,274.0,277.0,280.0,280.0,280.0,280.0,280.0
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,273.0,273.0,273.0,274.0,276.0,280.0,280.0,280.0,280.0,281.0
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,273.0,273.0,273.0,274.0,276.0,280.0,280.0,280.0,280.0,280.0
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,273.0,273.0,273.0,275.0,277.0,280.0,280.0,280.0,280.0,280.0
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,273.0,273.0,273.0,274.0,276.0,280.0,280.0,280.0,280.0,280.0
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,273.0,273.0,273.0,273.0,277.0,280.0,280.0,280.0,280.0,280.0
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,273.0,273.0,273.0,275.0,278.0,280.0,280.0,280.0,280.0,280.0
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,273.0,273.0,273.0,275.0,276.0,280.0,280.0,280.0,280.0,281.0
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,273.0,273.0,274.0,275.0,276.0,280.0,280.0,280.0,280.0,280.0
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,273.0,273.0,273.0,275.0,277.0,280.0,280.0,280.0,280.0,282.0
unmatched_applicants,287.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,273.0,273.0,273.0,273.0,273.0,273.0,275.0,277.0,280.0,280.0,280.0,280.0,281.0
