Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,414.0,212.0,206.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,207.0,204.0,204.0,215.0,217.0,216.0,224.0,226.0,231.0,231.0,236.0,240.0,245.0,248.0,253.0,268.0,270.0,275.0,288.0,302.0,306.0,316.0,317.0,325.0,329.0,338.0,340.0,343.0,349.0,352.0
unmatched_applicants,410.0,210.0,206.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,209.0,210.0,216.0,223.0,224.0,228.0,234.0,232.0,232.0,243.0,244.0,247.0,250.0,255.0,269.0,279.0,284.0,295.0,305.0,312.0,318.0,326.0,329.0,338.0,343.0,344.0,354.0,353.0
unmatched_applicants,410.0,210.0,207.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,210.0,204.0,208.0,209.0,218.0,221.0,222.0,227.0,228.0,233.0,234.0,242.0,242.0,246.0,250.0,255.0,267.0,281.0,288.0,301.0,311.0,314.0,323.0,327.0,330.0,336.0,342.0,344.0,349.0,354.0
unmatched_applicants,411.0,210.0,205.0,205.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,207.0,210.0,212.0,219.0,218.0,223.0,227.0,231.0,231.0,244.0,240.0,245.0,246.0,249.0,261.0,268.0,283.0,291.0,293.0,305.0,312.0,320.0,324.0,330.0,335.0,336.0,342.0,349.0,354.0
unmatched_applicants,411.0,215.0,205.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,206.0,213.0,214.0,218.0,225.0,227.0,228.0,233.0,244.0,238.0,243.0,245.0,249.0,258.0,271.0,277.0,292.0,295.0,309.0,313.0,318.0,320.0,330.0,334.0,336.0,344.0,350.0,354.0
unmatched_applicants,410.0,210.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,213.0,210.0,216.0,215.0,224.0,228.0,231.0,230.0,238.0,240.0,243.0,246.0,249.0,255.0,267.0,280.0,287.0,292.0,304.0,311.0,317.0,323.0,331.0,334.0,342.0,348.0,349.0,352.0
unmatched_applicants,413.0,210.0,206.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,206.0,204.0,209.0,217.0,216.0,218.0,228.0,228.0,233.0,238.0,238.0,244.0,251.0,252.0,258.0,272.0,277.0,289.0,300.0,307.0,314.0,318.0,323.0,330.0,335.0,339.0,352.0,351.0,352.0
unmatched_applicants,414.0,209.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,209.0,204.0,205.0,212.0,217.0,219.0,221.0,224.0,232.0,235.0,237.0,238.0,239.0,250.0,252.0,263.0,277.0,279.0,283.0,295.0,305.0,313.0,321.0,325.0,330.0,336.0,340.0,347.0,349.0,353.0
unmatched_applicants,412.0,215.0,208.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,216.0,216.0,219.0,226.0,229.0,231.0,237.0,236.0,245.0,241.0,243.0,252.0,263.0,268.0,282.0,289.0,302.0,305.0,310.0,321.0,327.0,327.0,332.0,342.0,344.0,353.0,353.0
unmatched_applicants,410.0,206.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,207.0,204.0,204.0,209.0,211.0,215.0,224.0,223.0,228.0,232.0,234.0,239.0,238.0,244.0,248.0,249.0,265.0,272.0,283.0,288.0,305.0,305.0,316.0,318.0,324.0,328.0,342.0,344.0,344.0,351.0,352.0
unmatched_applicants,410.0,207.0,208.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,205.0,213.0,209.0,214.0,217.0,222.0,230.0,232.0,234.0,231.0,240.0,242.0,246.0,249.0,263.0,270.0,273.0,290.0,297.0,305.0,310.0,317.0,326.0,330.0,343.0,340.0,344.0,349.0,354.0
unmatched_applicants,408.0,210.0,205.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,209.0,204.0,208.0,210.0,221.0,222.0,221.0,225.0,232.0,231.0,241.0,242.0,245.0,243.0,251.0,256.0,270.0,268.0,295.0,298.0,299.0,316.0,319.0,319.0,332.0,339.0,339.0,343.0,354.0,354.0
unmatched_applicants,409.0,215.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,210.0,218.0,217.0,216.0,225.0,230.0,232.0,238.0,243.0,243.0,246.0,249.0,261.0,271.0,286.0,286.0,299.0,306.0,314.0,319.0,325.0,331.0,335.0,336.0,342.0,349.0,353.0
unmatched_applicants,411.0,207.0,206.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,206.0,212.0,214.0,217.0,226.0,227.0,227.0,232.0,241.0,243.0,243.0,247.0,252.0,258.0,270.0,279.0,293.0,295.0,308.0,311.0,318.0,325.0,330.0,337.0,344.0,346.0,351.0,355.0
unmatched_applicants,408.0,212.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,206.0,208.0,211.0,212.0,219.0,219.0,228.0,232.0,237.0,235.0,238.0,244.0,247.0,252.0,261.0,272.0,274.0,290.0,295.0,302.0,314.0,320.0,324.0,333.0,344.0,343.0,346.0,350.0,355.0
unmatched_applicants,413.0,212.0,208.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,207.0,204.0,206.0,210.0,217.0,212.0,219.0,227.0,230.0,229.0,236.0,239.0,244.0,248.0,249.0,260.0,270.0,274.0,287.0,298.0,305.0,315.0,323.0,325.0,330.0,336.0,342.0,350.0,349.0,354.0
unmatched_applicants,413.0,214.0,206.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,205.0,205.0,214.0,215.0,215.0,221.0,228.0,230.0,237.0,238.0,239.0,244.0,249.0,256.0,259.0,267.0,279.0,287.0,296.0,303.0,315.0,316.0,326.0,332.0,332.0,339.0,343.0,353.0,355.0
unmatched_applicants,405.0,210.0,207.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,207.0,204.0,205.0,210.0,214.0,219.0,227.0,233.0,230.0,236.0,240.0,239.0,244.0,254.0,249.0,260.0,268.0,283.0,288.0,296.0,308.0,315.0,317.0,324.0,330.0,340.0,345.0,343.0,356.0,353.0
unmatched_applicants,412.0,210.0,205.0,205.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,205.0,215.0,220.0,218.0,226.0,226.0,235.0,235.0,239.0,238.0,245.0,246.0,249.0,256.0,270.0,281.0,283.0,298.0,305.0,312.0,319.0,323.0,331.0,334.0,343.0,343.0,349.0,349.0
unmatched_applicants,410.0,209.0,211.0,205.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,210.0,216.0,218.0,219.0,217.0,229.0,232.0,232.0,237.0,241.0,247.0,248.0,251.0,256.0,262.0,277.0,293.0,294.0,310.0,316.0,319.0,326.0,329.0,333.0,339.0,343.0,353.0,349.0
unmatched_applicants,407.0,211.0,205.0,205.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,207.0,210.0,217.0,219.0,222.0,227.0,226.0,234.0,242.0,241.0,245.0,250.0,253.0,259.0,264.0,276.0,291.0,299.0,308.0,313.0,318.0,328.0,330.0,337.0,345.0,342.0,350.0,354.0
