Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,1380.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1193.0,1205.0,1194.0,1212.0,1213.0,1219.0,1228.0,1226.0,1245.0,1261.0,1250.0,1259.0,1274.0,1278.0,1288.0,1296.0,1304.0,1301.0,1322.0,1317.0,1323.0,1326.0,1348.0,1347.0,1345.0,1360.0,1390.0
unmatched_applicants,1383.0,1186.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1187.0,1185.0,1188.0,1190.0,1197.0,1191.0,1203.0,1210.0,1227.0,1230.0,1240.0,1236.0,1255.0,1253.0,1268.0,1268.0,1281.0,1289.0,1293.0,1298.0,1292.0,1311.0,1319.0,1327.0,1336.0,1351.0,1351.0,1347.0,1352.0,1380.0
unmatched_applicants,1389.0,1187.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1186.0,1188.0,1188.0,1201.0,1194.0,1199.0,1217.0,1212.0,1223.0,1226.0,1243.0,1255.0,1257.0,1267.0,1268.0,1281.0,1293.0,1286.0,1304.0,1303.0,1323.0,1320.0,1317.0,1324.0,1350.0,1356.0,1352.0,1352.0,1372.0
unmatched_applicants,1380.0,1187.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1188.0,1190.0,1192.0,1197.0,1197.0,1223.0,1222.0,1220.0,1242.0,1246.0,1248.0,1256.0,1266.0,1263.0,1273.0,1292.0,1290.0,1299.0,1312.0,1323.0,1320.0,1324.0,1327.0,1346.0,1336.0,1362.0,1354.0,1378.0
unmatched_applicants,1380.0,1187.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1193.0,1199.0,1199.0,1203.0,1216.0,1220.0,1227.0,1235.0,1242.0,1250.0,1261.0,1265.0,1270.0,1276.0,1288.0,1290.0,1300.0,1305.0,1330.0,1311.0,1321.0,1332.0,1351.0,1355.0,1347.0,1353.0,1378.0
unmatched_applicants,1378.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1186.0,1186.0,1192.0,1201.0,1191.0,1205.0,1224.0,1220.0,1224.0,1236.0,1249.0,1249.0,1264.0,1268.0,1268.0,1289.0,1299.0,1297.0,1299.0,1298.0,1326.0,1320.0,1329.0,1335.0,1343.0,1350.0,1350.0,1352.0,1375.0
unmatched_applicants,1380.0,1187.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1190.0,1194.0,1192.0,1194.0,1207.0,1211.0,1231.0,1231.0,1237.0,1242.0,1255.0,1255.0,1267.0,1271.0,1285.0,1282.0,1297.0,1303.0,1314.0,1316.0,1326.0,1323.0,1335.0,1354.0,1341.0,1354.0,1352.0,1381.0
unmatched_applicants,1381.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1188.0,1201.0,1194.0,1206.0,1207.0,1221.0,1234.0,1236.0,1247.0,1253.0,1263.0,1275.0,1266.0,1280.0,1290.0,1297.0,1290.0,1300.0,1322.0,1323.0,1323.0,1336.0,1349.0,1356.0,1353.0,1350.0,1385.0
unmatched_applicants,1380.0,1187.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1187.0,1199.0,1192.0,1209.0,1208.0,1220.0,1224.0,1238.0,1242.0,1251.0,1254.0,1262.0,1267.0,1281.0,1286.0,1290.0,1300.0,1307.0,1315.0,1322.0,1330.0,1332.0,1342.0,1358.0,1349.0,1357.0,1363.0
unmatched_applicants,1372.0,1186.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1189.0,1186.0,1200.0,1203.0,1203.0,1211.0,1224.0,1217.0,1240.0,1240.0,1250.0,1259.0,1260.0,1269.0,1279.0,1301.0,1292.0,1297.0,1308.0,1313.0,1323.0,1324.0,1331.0,1350.0,1354.0,1344.0,1358.0,1386.0
