Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,224.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,132.0,136.0,139.0,140.0,147.0,155.0,154.0,166.0,166.0,176.0,175.0,182.0,184.0,183.0,189.0,193.0,195.0,203.0,205.0,208.0,211.0,209.0,214.0,214.0,217.0,216.0,223.0,220.0,223.0,227.0,227.0
unmatched_applicants,227.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,133.0,137.0,141.0,145.0,155.0,159.0,159.0,163.0,170.0,173.0,179.0,187.0,188.0,189.0,193.0,198.0,200.0,202.0,205.0,210.0,210.0,214.0,215.0,218.0,221.0,222.0,224.0,225.0,226.0,225.0
unmatched_applicants,226.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,133.0,132.0,137.0,146.0,148.0,153.0,159.0,159.0,165.0,168.0,179.0,181.0,184.0,187.0,192.0,196.0,196.0,203.0,202.0,209.0,213.0,209.0,216.0,213.0,216.0,220.0,220.0,222.0,223.0,225.0,227.0
unmatched_applicants,225.0,133.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,132.0,134.0,141.0,143.0,143.0,148.0,162.0,164.0,168.0,176.0,182.0,183.0,185.0,190.0,194.0,193.0,198.0,199.0,208.0,203.0,208.0,210.0,212.0,213.0,212.0,218.0,222.0,222.0,225.0,226.0,227.0
unmatched_applicants,223.0,130.0,130.0,131.0,130.0,130.0,130.0,130.0,130.0,130.0,131.0,135.0,136.0,147.0,148.0,152.0,155.0,164.0,167.0,164.0,175.0,181.0,186.0,185.0,193.0,193.0,201.0,199.0,205.0,203.0,208.0,212.0,211.0,213.0,214.0,218.0,223.0,221.0,221.0,224.0,227.0
unmatched_applicants,225.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,132.0,132.0,134.0,138.0,146.0,145.0,150.0,157.0,162.0,170.0,172.0,180.0,184.0,191.0,192.0,189.0,195.0,193.0,200.0,201.0,208.0,209.0,212.0,211.0,216.0,215.0,217.0,220.0,224.0,223.0,225.0,225.0
unmatched_applicants,228.0,132.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,131.0,132.0,136.0,135.0,146.0,145.0,154.0,154.0,166.0,167.0,168.0,179.0,184.0,183.0,183.0,186.0,194.0,199.0,197.0,201.0,209.0,207.0,208.0,217.0,213.0,220.0,217.0,220.0,221.0,223.0,225.0,225.0
unmatched_applicants,226.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,131.0,130.0,132.0,135.0,143.0,140.0,141.0,149.0,161.0,164.0,171.0,174.0,176.0,179.0,183.0,189.0,189.0,195.0,199.0,202.0,204.0,209.0,204.0,210.0,211.0,219.0,217.0,218.0,221.0,221.0,223.0,224.0,224.0
unmatched_applicants,226.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,131.0,131.0,130.0,132.0,141.0,138.0,149.0,152.0,154.0,167.0,168.0,171.0,180.0,184.0,184.0,185.0,186.0,192.0,196.0,201.0,201.0,210.0,210.0,210.0,214.0,213.0,218.0,218.0,220.0,223.0,224.0,223.0,228.0
unmatched_applicants,228.0,130.0,130.0,130.0,130.0,131.0,130.0,130.0,130.0,131.0,130.0,137.0,133.0,142.0,147.0,152.0,159.0,161.0,172.0,172.0,173.0,181.0,184.0,188.0,188.0,195.0,196.0,204.0,204.0,202.0,210.0,212.0,207.0,214.0,220.0,219.0,223.0,222.0,225.0,226.0,227.0
