Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,464.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,219.0,214.0,232.0,241.0,264.0,273.0,297.0,301.0,313.0,336.0,340.0,353.0,359.0,375.0,378.0,385.0,391.0,402.0,404.0,407.0,420.0,421.0,433.0,436.0,446.0,440.0,449.0,448.0,455.0,462.0
unmatched_applicants,457.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,205.0,225.0,226.0,243.0,257.0,274.0,295.0,304.0,322.0,331.0,350.0,352.0,366.0,367.0,380.0,391.0,393.0,402.0,412.0,426.0,418.0,426.0,432.0,428.0,447.0,443.0,446.0,457.0,457.0,459.0
unmatched_applicants,465.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,209.0,207.0,219.0,235.0,251.0,267.0,279.0,288.0,309.0,325.0,326.0,344.0,345.0,365.0,375.0,387.0,386.0,398.0,404.0,405.0,410.0,424.0,420.0,431.0,435.0,442.0,449.0,440.0,451.0,458.0,465.0
unmatched_applicants,463.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,214.0,231.0,228.0,251.0,256.0,278.0,284.0,304.0,323.0,320.0,344.0,348.0,373.0,370.0,384.0,381.0,396.0,399.0,406.0,407.0,423.0,424.0,434.0,432.0,437.0,441.0,449.0,450.0,455.0,457.0
unmatched_applicants,459.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,205.0,207.0,221.0,235.0,252.0,264.0,278.0,294.0,298.0,319.0,340.0,346.0,352.0,368.0,378.0,378.0,386.0,398.0,397.0,410.0,412.0,421.0,426.0,429.0,434.0,439.0,440.0,446.0,449.0,457.0,460.0
unmatched_applicants,457.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,209.0,223.0,237.0,241.0,264.0,277.0,286.0,314.0,322.0,326.0,332.0,348.0,362.0,361.0,381.0,380.0,399.0,395.0,406.0,414.0,413.0,427.0,433.0,438.0,445.0,443.0,452.0,445.0,458.0,462.0
unmatched_applicants,458.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,208.0,216.0,220.0,249.0,265.0,288.0,293.0,309.0,321.0,335.0,335.0,352.0,362.0,371.0,381.0,381.0,391.0,407.0,406.0,411.0,417.0,428.0,428.0,429.0,439.0,432.0,450.0,450.0,451.0,461.0
unmatched_applicants,456.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,206.0,207.0,217.0,236.0,250.0,263.0,283.0,287.0,307.0,317.0,331.0,340.0,348.0,360.0,368.0,381.0,391.0,393.0,404.0,412.0,412.0,416.0,429.0,430.0,433.0,436.0,450.0,445.0,454.0,455.0,464.0
unmatched_applicants,458.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,205.0,212.0,226.0,228.0,238.0,262.0,283.0,290.0,309.0,314.0,322.0,337.0,355.0,366.0,368.0,377.0,389.0,395.0,405.0,411.0,418.0,421.0,425.0,428.0,429.0,433.0,446.0,442.0,449.0,456.0,458.0
unmatched_applicants,457.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,219.0,226.0,229.0,257.0,264.0,280.0,284.0,304.0,322.0,338.0,356.0,349.0,362.0,370.0,378.0,381.0,396.0,407.0,404.0,409.0,412.0,422.0,429.0,436.0,435.0,452.0,440.0,450.0,456.0,457.0
