Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,1608.0,697.0,694.0,676.0,679.0,676.0,676.0,676.0,676.0,676.0,678.0,694.0,738.0,821.0,834.0,894.0,955.0,1002.0,1042.0,1107.0,1141.0,1172.0,1222.0,1259.0,1280.0,1318.0,1340.0,1383.0,1400.0,1417.0,1429.0,1454.0,1488.0,1502.0,1514.0,1537.0,1545.0,1562.0,1573.0,1591.0,1614.0
unmatched_applicants,1599.0,700.0,690.0,678.0,676.0,676.0,676.0,676.0,676.0,676.0,681.0,708.0,741.0,773.0,826.0,896.0,938.0,1022.0,1040.0,1101.0,1135.0,1187.0,1214.0,1246.0,1267.0,1319.0,1357.0,1371.0,1391.0,1420.0,1428.0,1462.0,1481.0,1505.0,1534.0,1523.0,1562.0,1576.0,1581.0,1585.0,1593.0
unmatched_applicants,1606.0,694.0,681.0,681.0,678.0,677.0,676.0,676.0,676.0,676.0,681.0,710.0,752.0,797.0,833.0,890.0,965.0,1020.0,1033.0,1093.0,1130.0,1180.0,1203.0,1247.0,1304.0,1323.0,1346.0,1384.0,1401.0,1408.0,1448.0,1453.0,1488.0,1492.0,1529.0,1543.0,1554.0,1554.0,1578.0,1591.0,1613.0
unmatched_applicants,1606.0,731.0,682.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,678.0,700.0,751.0,796.0,837.0,900.0,925.0,990.0,1053.0,1077.0,1146.0,1187.0,1216.0,1250.0,1280.0,1307.0,1355.0,1369.0,1397.0,1410.0,1439.0,1464.0,1477.0,1497.0,1516.0,1530.0,1543.0,1568.0,1587.0,1588.0,1604.0
unmatched_applicants,1607.0,720.0,693.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,688.0,704.0,726.0,799.0,836.0,887.0,943.0,1007.0,1054.0,1084.0,1128.0,1170.0,1216.0,1249.0,1292.0,1327.0,1332.0,1372.0,1382.0,1434.0,1434.0,1465.0,1478.0,1488.0,1524.0,1526.0,1543.0,1566.0,1576.0,1589.0,1616.0
unmatched_applicants,1610.0,701.0,687.0,676.0,676.0,676.0,676.0,676.0,676.0,677.0,680.0,703.0,730.0,764.0,823.0,884.0,941.0,995.0,1056.0,1112.0,1137.0,1170.0,1201.0,1242.0,1292.0,1325.0,1355.0,1378.0,1395.0,1419.0,1439.0,1459.0,1480.0,1501.0,1518.0,1543.0,1551.0,1575.0,1566.0,1596.0,1605.0
unmatched_applicants,1592.0,701.0,681.0,679.0,676.0,676.0,676.0,676.0,676.0,676.0,686.0,710.0,732.0,766.0,813.0,901.0,952.0,1001.0,1061.0,1093.0,1136.0,1184.0,1217.0,1258.0,1293.0,1308.0,1351.0,1372.0,1389.0,1423.0,1449.0,1469.0,1485.0,1487.0,1528.0,1548.0,1528.0,1568.0,1571.0,1580.0,1605.0
unmatched_applicants,1593.0,716.0,691.0,679.0,676.0,676.0,676.0,676.0,676.0,676.0,685.0,697.0,735.0,791.0,837.0,880.0,938.0,1022.0,1066.0,1094.0,1137.0,1184.0,1207.0,1262.0,1272.0,1321.0,1342.0,1368.0,1394.0,1410.0,1441.0,1473.0,1482.0,1499.0,1522.0,1553.0,1549.0,1555.0,1570.0,1589.0,1601.0
unmatched_applicants,1612.0,722.0,688.0,676.0,677.0,676.0,676.0,676.0,676.0,676.0,685.0,707.0,743.0,771.0,846.0,895.0,958.0,991.0,1056.0,1095.0,1133.0,1165.0,1199.0,1269.0,1287.0,1315.0,1333.0,1378.0,1384.0,1428.0,1445.0,1467.0,1483.0,1495.0,1507.0,1549.0,1551.0,1570.0,1584.0,1600.0,1607.0
unmatched_applicants,1601.0,698.0,689.0,678.0,679.0,676.0,676.0,676.0,676.0,676.0,679.0,701.0,716.0,800.0,838.0,875.0,941.0,986.0,1051.0,1098.0,1132.0,1171.0,1218.0,1263.0,1296.0,1306.0,1339.0,1371.0,1390.0,1435.0,1434.0,1464.0,1482.0,1497.0,1519.0,1517.0,1548.0,1562.0,1580.0,1591.0,1604.0
