Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
unmatched_applicants,2297.0,820.0,766.0,716.0,697.0,685.0,685.0,685.0,685.0,685.0,695.0,709.0,801.0,914.0,998.0,1135.0,1264.0,1341.0,1454.0,1534.0,1640.0,1711.0,1748.0,1816.0,1874.0,1945.0,1951.0,2009.0,2011.0,2099.0,2065.0,2150.0,2148.0,2150.0,2171.0,2187.0,2179.0,2232.0,2256.0,2256.0
unmatched_applicants,2312.0,841.0,750.0,728.0,694.0,688.0,685.0,685.0,685.0,685.0,708.0,709.0,813.0,930.0,1028.0,1107.0,1247.0,1358.0,1446.0,1531.0,1633.0,1721.0,1778.0,1801.0,1880.0,1894.0,1949.0,1998.0,2021.0,2096.0,2118.0,2103.0,2130.0,2155.0,2156.0,2203.0,2214.0,2206.0,2224.0,2274.0
unmatched_applicants,2301.0,834.0,751.0,728.0,689.0,694.0,685.0,685.0,685.0,685.0,685.0,714.0,767.0,876.0,1009.0,1129.0,1272.0,1356.0,1461.0,1548.0,1597.0,1674.0,1755.0,1821.0,1867.0,1922.0,1964.0,2010.0,2018.0,2067.0,2072.0,2148.0,2151.0,2166.0,2184.0,2217.0,2198.0,2209.0,2217.0,2223.0
unmatched_applicants,2306.0,826.0,776.0,709.0,688.0,687.0,689.0,685.0,685.0,685.0,705.0,710.0,786.0,899.0,1041.0,1120.0,1249.0,1365.0,1466.0,1578.0,1639.0,1674.0,1753.0,1826.0,1870.0,1952.0,1941.0,2022.0,2060.0,2064.0,2105.0,2125.0,2147.0,2152.0,2153.0,2187.0,2184.0,2199.0,2218.0,2205.0
unmatched_applicants,2305.0,843.0,760.0,726.0,708.0,685.0,685.0,685.0,685.0,685.0,701.0,713.0,786.0,883.0,1025.0,1076.0,1278.0,1366.0,1451.0,1557.0,1631.0,1709.0,1767.0,1816.0,1845.0,1924.0,1969.0,2007.0,2080.0,2040.0,2116.0,2129.0,2165.0,2161.0,2176.0,2175.0,2230.0,2184.0,2204.0,2276.0
unmatched_applicants,2293.0,832.0,767.0,723.0,689.0,688.0,685.0,685.0,685.0,696.0,693.0,715.0,798.0,887.0,1017.0,1139.0,1263.0,1350.0,1455.0,1570.0,1637.0,1710.0,1736.0,1794.0,1868.0,1917.0,1988.0,1987.0,2032.0,2068.0,2102.0,2120.0,2144.0,2191.0,2166.0,2247.0,2170.0,2228.0,2212.0,2237.0
unmatched_applicants,2285.0,842.0,770.0,723.0,696.0,690.0,686.0,685.0,685.0,685.0,704.0,727.0,808.0,900.0,1011.0,1122.0,1204.0,1361.0,1473.0,1508.0,1628.0,1705.0,1736.0,1808.0,1885.0,1924.0,1977.0,2016.0,2054.0,2059.0,2076.0,2118.0,2133.0,2171.0,2161.0,2172.0,2222.0,2235.0,2230.0,2232.0
unmatched_applicants,2332.0,844.0,770.0,733.0,696.0,687.0,687.0,686.0,685.0,690.0,698.0,738.0,771.0,900.0,1036.0,1101.0,1237.0,1388.0,1418.0,1523.0,1636.0,1670.0,1781.0,1797.0,1842.0,1934.0,1961.0,2002.0,2000.0,2051.0,2110.0,2110.0,2141.0,2166.0,2198.0,2186.0,2228.0,2233.0,2200.0,2224.0
unmatched_applicants,2307.0,847.0,770.0,734.0,712.0,686.0,685.0,685.0,685.0,685.0,692.0,718.0,788.0,880.0,1040.0,1126.0,1220.0,1343.0,1480.0,1528.0,1591.0,1677.0,1753.0,1822.0,1842.0,1933.0,1977.0,1997.0,2035.0,2087.0,2087.0,2094.0,2141.0,2156.0,2184.0,2200.0,2167.0,2237.0,2242.0,2243.0
unmatched_applicants,2330.0,831.0,773.0,715.0,707.0,693.0,686.0,688.0,685.0,685.0,689.0,747.0,792.0,908.0,1037.0,1102.0,1210.0,1345.0,1445.0,1560.0,1628.0,1732.0,1765.0,1788.0,1860.0,1925.0,1974.0,1994.0,1994.0,2048.0,2100.0,2105.0,2144.0,2166.0,2198.0,2210.0,2229.0,2216.0,2210.0,2228.0
