Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
unmatched_applicants,1329.0,845.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,854.0,863.0,894.0,903.0,929.0,988.0,1016.0,1043.0,1092.0,1085.0,1112.0,1124.0,1156.0,1168.0,1191.0,1215.0,1208.0,1229.0,1246.0,1240.0,1254.0,1262.0,1269.0,1293.0,1288.0,1293.0,1289.0,1298.0,1317.0,1305.0
unmatched_applicants,1339.0,854.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,847.0,852.0,890.0,918.0,953.0,979.0,1011.0,1050.0,1067.0,1094.0,1120.0,1138.0,1148.0,1165.0,1187.0,1199.0,1211.0,1237.0,1241.0,1260.0,1251.0,1274.0,1262.0,1286.0,1279.0,1291.0,1300.0,1305.0,1302.0,1306.0
unmatched_applicants,1345.0,847.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,845.0,850.0,863.0,886.0,906.0,943.0,980.0,1007.0,1013.0,1079.0,1093.0,1108.0,1144.0,1148.0,1163.0,1186.0,1196.0,1209.0,1235.0,1235.0,1260.0,1263.0,1264.0,1265.0,1270.0,1277.0,1282.0,1312.0,1294.0,1294.0,1306.0
unmatched_applicants,1331.0,856.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,851.0,869.0,868.0,928.0,924.0,983.0,1006.0,1048.0,1059.0,1111.0,1116.0,1142.0,1177.0,1165.0,1189.0,1217.0,1218.0,1235.0,1251.0,1259.0,1251.0,1264.0,1281.0,1277.0,1282.0,1293.0,1282.0,1293.0,1295.0,1310.0
unmatched_applicants,1319.0,850.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,849.0,846.0,862.0,897.0,903.0,948.0,981.0,1024.0,1040.0,1054.0,1091.0,1118.0,1124.0,1156.0,1168.0,1186.0,1203.0,1205.0,1247.0,1231.0,1257.0,1258.0,1268.0,1266.0,1276.0,1295.0,1296.0,1310.0,1303.0,1303.0,1296.0
unmatched_applicants,1325.0,850.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,848.0,856.0,865.0,877.0,901.0,933.0,981.0,1012.0,1061.0,1078.0,1101.0,1128.0,1140.0,1154.0,1184.0,1201.0,1195.0,1232.0,1218.0,1242.0,1260.0,1251.0,1270.0,1271.0,1291.0,1269.0,1297.0,1302.0,1285.0,1311.0,1295.0
unmatched_applicants,1313.0,849.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,847.0,864.0,880.0,910.0,936.0,969.0,1002.0,1038.0,1066.0,1086.0,1118.0,1131.0,1181.0,1177.0,1193.0,1206.0,1201.0,1231.0,1229.0,1245.0,1256.0,1265.0,1286.0,1278.0,1276.0,1286.0,1291.0,1293.0,1316.0,1308.0
unmatched_applicants,1325.0,860.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,854.0,857.0,873.0,906.0,927.0,966.0,1009.0,1026.0,1067.0,1076.0,1130.0,1130.0,1158.0,1170.0,1194.0,1215.0,1224.0,1240.0,1241.0,1261.0,1275.0,1260.0,1264.0,1282.0,1281.0,1284.0,1290.0,1297.0,1298.0,1305.0
unmatched_applicants,1336.0,853.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,847.0,865.0,882.0,907.0,936.0,958.0,1009.0,1020.0,1081.0,1091.0,1117.0,1124.0,1153.0,1181.0,1186.0,1213.0,1205.0,1233.0,1233.0,1251.0,1268.0,1266.0,1267.0,1279.0,1281.0,1289.0,1285.0,1300.0,1320.0,1287.0
unmatched_applicants,1338.0,848.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,855.0,857.0,879.0,909.0,948.0,954.0,1012.0,1029.0,1061.0,1098.0,1125.0,1139.0,1169.0,1172.0,1193.0,1204.0,1216.0,1236.0,1234.0,1246.0,1283.0,1264.0,1264.0,1285.0,1285.0,1289.0,1292.0,1298.0,1318.0,1293.0
unmatched_applicants,1332.0,851.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,846.0,850.0,891.0,894.0,942.0,963.0,1015.0,1056.0,1069.0,1091.0,1119.0,1147.0,1151.0,1186.0,1201.0,1224.0,1234.0,1224.0,1237.0,1268.0,1270.0,1255.0,1281.0,1278.0,1291.0,1298.0,1305.0,1295.0,1299.0,1307.0
