Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
unmatched_applicants,761.0,493.0,496.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,495.0,505.0,513.0,525.0,553.0,565.0,590.0,599.0,620.0,625.0,639.0,659.0,659.0,680.0,682.0,688.0,689.0,698.0,708.0,708.0,718.0,729.0,730.0,719.0,728.0,735.0,744.0,745.0,745.0,742.0,753.0
unmatched_applicants,755.0,493.0,494.0,493.0,493.0,493.0,493.0,493.0,493.0,495.0,496.0,496.0,522.0,531.0,537.0,575.0,582.0,607.0,601.0,632.0,634.0,649.0,666.0,670.0,688.0,698.0,707.0,702.0,709.0,712.0,716.0,727.0,718.0,726.0,729.0,745.0,729.0,739.0,735.0,744.0,738.0
unmatched_applicants,764.0,493.0,494.0,493.0,493.0,493.0,493.0,493.0,493.0,497.0,500.0,508.0,519.0,529.0,548.0,564.0,588.0,603.0,621.0,630.0,640.0,659.0,661.0,670.0,678.0,694.0,696.0,703.0,708.0,720.0,716.0,735.0,723.0,716.0,735.0,748.0,738.0,738.0,748.0,738.0,741.0
unmatched_applicants,757.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,497.0,503.0,515.0,540.0,550.0,561.0,582.0,603.0,615.0,627.0,649.0,649.0,675.0,674.0,687.0,687.0,690.0,711.0,705.0,706.0,711.0,740.0,731.0,723.0,736.0,745.0,730.0,736.0,734.0,739.0,739.0
unmatched_applicants,758.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,495.0,496.0,496.0,510.0,519.0,537.0,546.0,567.0,581.0,593.0,618.0,621.0,651.0,652.0,655.0,687.0,687.0,682.0,690.0,705.0,718.0,711.0,715.0,726.0,726.0,727.0,744.0,738.0,738.0,743.0,731.0,739.0,749.0
unmatched_applicants,748.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,496.0,499.0,497.0,511.0,519.0,541.0,547.0,568.0,575.0,591.0,609.0,631.0,633.0,650.0,662.0,666.0,680.0,683.0,691.0,716.0,705.0,719.0,714.0,714.0,720.0,727.0,734.0,747.0,737.0,748.0,751.0,747.0,745.0
unmatched_applicants,755.0,493.0,495.0,493.0,493.0,493.0,493.0,493.0,496.0,493.0,499.0,508.0,516.0,534.0,544.0,564.0,586.0,609.0,627.0,632.0,645.0,657.0,666.0,656.0,681.0,688.0,694.0,696.0,721.0,709.0,723.0,730.0,731.0,730.0,726.0,743.0,737.0,735.0,731.0,736.0,749.0
unmatched_applicants,759.0,494.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,502.0,502.0,513.0,536.0,550.0,567.0,581.0,603.0,614.0,632.0,645.0,641.0,670.0,680.0,684.0,702.0,699.0,694.0,709.0,712.0,719.0,717.0,716.0,738.0,737.0,736.0,752.0,740.0,751.0,740.0,759.0
unmatched_applicants,760.0,493.0,494.0,493.0,493.0,493.0,493.0,493.0,495.0,494.0,502.0,510.0,517.0,539.0,544.0,572.0,584.0,597.0,620.0,630.0,646.0,655.0,657.0,666.0,688.0,691.0,707.0,702.0,697.0,709.0,720.0,713.0,721.0,722.0,730.0,735.0,743.0,744.0,749.0,733.0,741.0
unmatched_applicants,758.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,496.0,497.0,502.0,517.0,540.0,535.0,567.0,582.0,596.0,610.0,637.0,641.0,645.0,662.0,671.0,684.0,695.0,688.0,700.0,714.0,714.0,721.0,728.0,725.0,732.0,738.0,740.0,747.0,739.0,752.0,736.0,739.0
