Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
unmatched_applicants,654.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,545.0,549.0,550.0,555.0,560.0,560.0,565.0,564.0,564.0,567.0,576.0,582.0,587.0,591.0,595.0,599.0,604.0,602.0,609.0,614.0,615.0,619.0,613.0,624.0,633.0,637.0,642.0,654.0
unmatched_applicants,655.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,545.0,542.0,547.0,556.0,552.0,554.0,555.0,559.0,560.0,566.0,564.0,567.0,570.0,578.0,585.0,592.0,590.0,600.0,601.0,602.0,606.0,607.0,607.0,617.0,616.0,628.0,630.0,638.0,642.0,650.0
unmatched_applicants,655.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,547.0,548.0,556.0,556.0,555.0,561.0,562.0,565.0,561.0,573.0,575.0,580.0,586.0,590.0,595.0,599.0,604.0,602.0,605.0,613.0,611.0,619.0,620.0,624.0,623.0,637.0,644.0,652.0
unmatched_applicants,655.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,546.0,544.0,545.0,548.0,555.0,559.0,556.0,557.0,558.0,564.0,564.0,567.0,575.0,579.0,588.0,593.0,596.0,602.0,600.0,606.0,606.0,615.0,608.0,614.0,623.0,628.0,631.0,639.0,645.0,651.0
unmatched_applicants,654.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,548.0,543.0,547.0,549.0,550.0,551.0,560.0,556.0,563.0,568.0,570.0,577.0,579.0,589.0,588.0,594.0,598.0,600.0,605.0,603.0,607.0,615.0,611.0,624.0,624.0,635.0,639.0,646.0,651.0
unmatched_applicants,659.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,549.0,552.0,551.0,549.0,555.0,560.0,555.0,561.0,570.0,575.0,581.0,583.0,584.0,592.0,595.0,598.0,602.0,605.0,609.0,613.0,610.0,618.0,615.0,622.0,631.0,637.0,645.0,647.0
unmatched_applicants,655.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,546.0,544.0,549.0,552.0,553.0,555.0,560.0,559.0,562.0,564.0,568.0,573.0,581.0,594.0,591.0,595.0,595.0,605.0,603.0,608.0,609.0,609.0,619.0,616.0,628.0,627.0,634.0,639.0,648.0
unmatched_applicants,656.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,548.0,545.0,552.0,555.0,560.0,560.0,560.0,562.0,563.0,572.0,575.0,582.0,587.0,589.0,594.0,598.0,606.0,602.0,605.0,608.0,615.0,614.0,622.0,625.0,638.0,638.0,643.0,653.0
unmatched_applicants,655.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,547.0,549.0,550.0,552.0,552.0,560.0,559.0,565.0,567.0,567.0,577.0,575.0,591.0,588.0,591.0,598.0,600.0,608.0,606.0,610.0,610.0,617.0,623.0,624.0,631.0,633.0,646.0,651.0
unmatched_applicants,654.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,543.0,546.0,545.0,554.0,561.0,560.0,563.0,561.0,564.0,569.0,575.0,580.0,588.0,596.0,592.0,601.0,601.0,604.0,608.0,610.0,609.0,618.0,620.0,626.0,628.0,642.0,645.0,650.0
unmatched_applicants,654.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,545.0,545.0,546.0,547.0,552.0,555.0,555.0,556.0,562.0,566.0,569.0,575.0,578.0,583.0,593.0,593.0,599.0,598.0,606.0,611.0,616.0,610.0,615.0,621.0,627.0,639.0,639.0,646.0,652.0
unmatched_applicants,654.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,542.0,544.0,545.0,549.0,552.0,551.0,560.0,551.0,567.0,562.0,563.0,568.0,573.0,580.0,586.0,594.0,598.0,598.0,605.0,606.0,615.0,613.0,610.0,604.0,614.0,624.0,633.0,645.0,643.0,648.0
unmatched_applicants,657.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,547.0,550.0,545.0,549.0,554.0,554.0,560.0,556.0,557.0,564.0,566.0,580.0,578.0,586.0,587.0,595.0,599.0,603.0,609.0,612.0,606.0,615.0,612.0,625.0,627.0,629.0,641.0,644.0,651.0
unmatched_applicants,660.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,546.0,547.0,542.0,548.0,552.0,557.0,551.0,558.0,559.0,568.0,567.0,572.0,580.0,586.0,589.0,594.0,602.0,604.0,601.0,606.0,614.0,617.0,617.0,626.0,622.0,635.0,639.0,644.0,650.0
unmatched_applicants,659.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,543.0,543.0,544.0,549.0,548.0,555.0,556.0,560.0,556.0,564.0,569.0,569.0,580.0,581.0,590.0,592.0,597.0,601.0,606.0,609.0,608.0,613.0,604.0,619.0,612.0,625.0,633.0,639.0,645.0,654.0
unmatched_applicants,653.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,546.0,547.0,549.0,549.0,551.0,556.0,560.0,562.0,565.0,566.0,569.0,576.0,578.0,588.0,587.0,592.0,601.0,599.0,607.0,609.0,603.0,609.0,614.0,618.0,628.0,639.0,640.0,644.0,654.0
